2020-06-26 01:06:27,945 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2020-06-26 01:06:28,175 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2020-06-26 01:06:28,176 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2020-06-26 01:06:28,177 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2020-06-26 01:06:28,287 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2020-06-26 01:06:28,288 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2020-06-26 01:06:28,612 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2020-06-26 01:09:20,538 INFO  SwAddin.cs: 271 - Assembly export called for file New-bot
2020-06-26 01:09:20,539 INFO  SwAddin.cs: 276 - Save is required
2020-06-26 01:09:20,586 INFO  SwAddin.cs: 290 - Saving assembly
2020-06-26 01:09:24,882 INFO  SwAddin.cs: 293 - Opening property manager
2020-06-26 01:09:25,070 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from New-bot
2020-06-26 01:09:25,154 INFO  ExportHelperExtension.cs: 1142 - Found 53 in New-bot
2020-06-26 01:09:25,172 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in New-bot
2020-06-26 01:09:25,174 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-06-26 01:09:25,177 INFO  ExportHelperExtension.cs: 1167 - 9 components to check
2020-06-26 01:09:25,193 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from New-battery-1
2020-06-26 01:09:25,195 INFO  ExportHelperExtension.cs: 1142 - Found 27 in New-battery-1
2020-06-26 01:09:25,197 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in New-battery-1
2020-06-26 01:09:25,198 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from New-block-2
2020-06-26 01:09:25,199 INFO  ExportHelperExtension.cs: 1142 - Found 27 in New-block-2
2020-06-26 01:09:25,201 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in New-block-2
2020-06-26 01:09:25,202 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from New-front wheel-2
2020-06-26 01:09:25,203 INFO  ExportHelperExtension.cs: 1142 - Found 39 in New-front wheel-2
